p:(0.845325,0.460535),h:1,n:53,cr:0.059854;
p:(0.901549,0.432199),h:1,n:58,cr:0.0394208;
p:(0.935296,0.426904),h:1,n:51,cr:0.0449262;
p:(0.749443,0.480156),h:1,n:66,cr:0.0576611;
p:(0.748836,0.576601),h:1,n:70,cr:0.043786;
p:(0.787733,0.56463),h:1,n:40,cr:0.0323086;
p:(0.832609,0.515049),h:1,n:38,cr:0.0357729;
p:(0.820146,0.50741),h:1,n:52,cr:0.0362402;
p:(0.793657,0.548042),h:1,n:36,cr:0.0467965;
p:(0.787197,0.517722),h:1,n:44,cr:0.0386925;
p:(0.770597,0.463378),h:1,n:44,cr:0.0515025;
p:(0.779615,0.459635),h:1,n:42,cr:0.0410774;
p:(0.70091,0.518151),h:1,n:71,cr:0.046747;
p:(0.829201,0.330337),h:1,n:69,cr:0.0447545;
p:(0.890233,0.348893),h:1,n:36,cr:0.0243637;
p:(0.853855,0.354771),h:1,n:39,cr:0.0424427;
p:(0.808179,0.351851),h:1,n:44,cr:0.0344103;
p:(0.931518,0.347546),h:1,n:41,cr:0.035106;
p:(0.494407,0.552568),h:1,n:42,cr:0.0392764;
p:(0.487131,0.513263),h:1,n:37,cr:0.027379;
p:(0.464353,0.474219),h:1,n:40,cr:0.0356666;
p:(0.455701,0.512906),h:1,n:68,cr:0.0673496;
p:(0.526523,0.58225),h:1,n:39,cr:0.0336016;
p:(0.517341,0.565189),h:1,n:46,cr:0.0296634;
p:(0.498144,0.5762),h:1,n:53,cr:0.0439171;
p:(0.507786,0.627301),h:1,n:41,cr:0.045476;
p:(0.45569,0.532342),h:1,n:49,cr:0.0460739;
p:(0.482066,0.559275),h:1,n:36,cr:0.0329046;
p:(0.477397,0.628871),h:1,n:65,cr:0.0486114;
p:(0.471483,0.59254),h:1,n:59,cr:0.0713162;
p:(0.657522,0.64745),h:1,n:58,cr:0.0387393;
p:(0.673936,0.63764),h:1,n:50,cr:0.0380048;
p:(0.673996,0.629359),h:1,n:43,cr:0.0336661;
p:(0.652768,0.577898),h:1,n:43,cr:0.0386908;
